Position;2017/18;Pts;GD;2018/19;Pts;GD;2019/20;Pts;GD;2020/21;Pts;GD;2021/22;Pts;GD;VAR (Awarded);VAR (Scored);VAR (+);VAR (Against);VAR (Scored);VAR (-);Pts (No VAR);GD (No VAR)
1;Man City;100;79;Man City;98;72;Liverpool;99;52;Man City;86;51;Man City;93;73;4;3;2;0;0;0;91;70
2;Man Utd;81;40;Liverpool;97;67;Man City;81;67;Man Utd;74;29;Liverpool;92;68;3;3;2;0;0;0;90;65
3;Tottenham;77;38;Chelsea;72;24;Man Utd;66;30;Liverpool;69;26;Chelsea;74;43;3;3;3;2;2;2;73;42
4;Liverpool;75;46;Tottenham;71;28;Chelsea;66;15;Chelsea;67;22;Tottenham;71;29;1;1;2;1;1;0;69;29
5;Chelsea ;70;24;Arsenal;70;22;Leicester City;62;26;Leicester City;66;18;Arsenal;69;13;4;4;0;2;2;2;71;11
6;Arsenal;63;23;Man Utd;66;11;Tottenham;59;14;West Ham;65;15;Man Utd;58;0;1;1;2;3;1;0;56;0
7;Burnley;54;-3;Wolves;57;1;Wolves;59;11;Tottenham;62;23;West Ham;56;9;4;3;2;2;1;1;54;7
8;Everton;49;-14;Everton;54;8;Arsenal;56;8;Arsenal;61;16;Leicester City;52;3;0;0;0;4;4;0;52;7
9;Leicester City;47;-4;Leicester City;52;3;Sheffield Utd;54;0;Leeds Utd;59;8;Brighton;51;-2;3;1;1;1;0;0;50;-3
10;Newcastle Utd;44;-8;West Ham;52;-3;Burnley;54;-7;Everton;59;-1;Wolves;51;-5;1;1;0;2;1;2;53;-5
11;Crystal Palace;44;-10;Watford;50;-7;Southampton;52;-9;Aston Villa;55;9;Newcastle Utd;49;-18;2;2;3;3;3;4;50;-17
12;AFC Bournemouth;44;-16;Crystal Palace;49;-2;Everton;49;-12;Newcastle Utd;45;-16;Crystal Palace;48;4;1;1;0;4;3;2;50;6
13;West Ham;42;-20;Newcastle Utd;45;-6;Newcastle Utd;44;-20;Wolves;45;-16;Brentford;46;-8;2;2;2;0;0;0;44;-10
14;Watford;41;-20;AFC Bournemouth;45;-14;Crystal Palace;43;-19;Crystal Palace;44;-25;Aston Villa;45;-2;1;1;0;1;0;0;45;-3
15;Brighton;40;-20;Burnley;40;-23;Brighton;41;-15;Southampton ;43;-21;Southampton;40;-24;2;2;3;1;1;0;37;-25
16;Huddersfield Town;37;-30;Southampton;39;-20;West Ham;39;-13;Brighton;41;-6;Everton;39;-23;4;3;1;2;2;1;39;-24
17;Southampton;36;-19;Brighton;36;-25;Aston Villa;35;-26;Burnley;39;-22;Leeds Utd;38;-37;1;1;2;2;2;3;39;-36
18;Swansea;33;-28;Cardiff City;34;-35;AFC Bournemouth;34;-25;Fulham;28;-26;Burnley;35;-19;0;0;0;3;3;2;37;-16
19;Stoke City;33;-33;Fulham;26;-47;Watford;34;-28;W.B. Albion;26;-41;Watford;23;-43;0;0;0;2;2;0;23;-41
20;W.B. Albion;31;-25;Huddersfield Town;16;-54;Norwich City;21;-49;Sheffield Utd;23;-43;Norwich City;22;-61;2;2;0;5;5;2;24;-58
